Post_username,Post_ownerId,Post_brand
purelifecanada,7475812957,purelifecanada
bublywater,6268579358,bublywater
xgames,9190921,monsterenergy
gopro,28902942,monsterenergy
monsterarmy,222624161,monsterenergy
strickland_mma_,54427630273,monsterenergy
monstergaming,29891576,monsterenergy
monsterenergy,14653744,monsterenergy
class1official,38043412513,monsterenergy
monstermusic,43545679,monsterenergy
hailiedeegan,289393301,monsterenergy
briandeegan38,20416882,monsterenergy
bulletvalentina,1579112483,monsterenergy
mxgp,201585872,monsterenergy
monsterenergygirls,1528418435,monsterenergy
brendog1,8920714,monsterenergy
ufc,22832340,monsterenergy
rosenamajunas,191481764,monsterenergy
motogp,303323894,monsterenergy
p1offshore,11523106123,monsterenergy
powerslap,52822517826,monsterenergy
drinkspindrift,475047448,drinkspindrift
aliabakesto,2516219090,montelliercanada
troisfoisparjour,323507737,montelliercanada
tiannastastebuds,21275460696,montelliercanada
monsieurcocktail,2218225726,montelliercanada
abelaslife,180403375,montelliercanada
montelliercanada,4821419416,montelliercanada
laflamablanca95,683762681,waterloosparkling
curtisstone,25253091,waterloosparkling
netflixbites,7149185997,waterloosparkling
waterloosparkling,4931723958,waterloosparkling
lacroixwater,597611708,lacroixwater
carlilloyd,26997247,lacroixwater
katieledecky,1500292598,lacroixwater
yorkvillemurals,14283956532,perriercanada
perriercanada,18360162,perriercanada
sanpellegrinoca,42560281358,sanpellegrinoca
secondharvestca,173684399,sanpellegrinoca
